Step,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6
108,28.11958044,-10.43840492,4.070145564,-4.87541247e-08,6.255531958,1.424602251e-09,28.0945312,-38.94488547,11.80960697,8.850181122e-08,27.26053734,1.537949782e-06
109,28.37861788,-10.44035899,4.070458236,-4.121085879e-08,6.256670967,1.20418698e-09,28.3534568,-38.94463991,11.80875848,7.480876065e-08,27.2616987,1.299997317e-06
110,28.6173088,-10.44215956,4.070746348,-3.426009093e-08,6.257720511,1.001084584e-09,28.59204467,-38.94441364,11.80797663,6.219125292e-08,27.26276884,1.080735214e-06
111,28.83523797,-10.44380352,4.0710094,-2.791391291e-08,6.258678764,8.156483868e-10,28.80987975,-38.94420704,11.80726279,5.06712379e-08,27.2637459,8.805449089e-07
112,29.03199016,-10.44528773,4.07124689,-2.218441653e-08,6.2595439,6.482317119e-10,29.00654698,-38.94402053,11.80661831,4.027066542e-08,27.26462801,6.998078375e-07
113,29.20715013,-10.44660906,4.071458317,-1.708369358e-08,6.260314093,4.991878835e-10,29.18163132,-38.94385448,11.80604456,3.101148535e-08,27.26541331,5.389054359e-07
114,29.36030264,-10.44776438,4.07164318,-1.262383586e-08,6.260987517,3.688702256e-10,29.33471771,-38.94370929,11.8055429,2.291564755e-08,27.26609995,3.982191401e-07
115,29.49103246,-10.44875054,4.071800977,-8.816935166e-09,6.261562347,2.576320621e-10,29.46539109,-38.94358536,11.80511469,1.600510186e-08,27.26668606,2.78130386e-07
116,29.59892435,-10.44956443,4.071931208,-5.675083298e-09,6.262036757,1.65826717e-10,29.5732364,-38.94348309,11.80476128,1.030179813e-08,27.26716978,1.790206096e-07
117,29.68356309,-10.45020291,4.072033372,-3.21037205e-09,6.262408921,9.380751427e-11,29.65783859,-38.94340285,11.80448404,5.82768623e-09,27.26754925,1.012712468e-07
118,29.74453343,-10.45066284,4.072106966,-1.43489322e-09,6.262677012,4.192777788e-11,29.71878261,-38.94334505,11.80428433,2.604716005e-09,27.2678226,4.526373368e-08
119,29.78142014,-10.4509411,4.07215149,-3.607386045e-10,6.262839206,1.05408318e-11,29.75565339,-38.94331008,11.8041635,6.548373102e-10,27.26798798,1.137950608e-08
120,29.79380798,-10.45103455,4.072166443,0,6.262893677,0,29.76803589,-38.94329834,11.80412292,0,27.26804352,0
